29484;5;Mr.;Gustavo;Achong;2
29485;4;Ms.;Catherine;Abel;1
29486;3;Ms.;Kim;Abercrombie;0
29487;2;Sr.;Humberto;Acevedo;2
29488;9;Sra.;Pilar;Ackerman;0
29489;4;Ms.;Frances;Adams;1
29490;1;Ms.;Margaret;Smith;0
29491;5;Ms.;Carla;Adams;0
29492;3;Mr.;Jay;Adams;1
29493;5;Mr.;Ronald;Adina;0
29494;6;Mr.;Samuel;Agcaoili;0
29495;8;Mr.;James;Aguilar;1
29496;4;Mr.;Robert;Ahlering;0
29497;1;Mr.;François;Ferrier;1
29498;2;Ms.;Kim;Akers;2
29499;6;Ms.;Amy;Alberts;1
29500;5;Ms.;Anna;Albright;1
29501;2;Mr.;Milton;Albury;0
29502;1;Mr.;Paul;Alcorn;1
29503;6;Mr.;Gregory;Alderson;0
29504;5;Mr.;J. Phillip;Alexander;1
29505;1;Ms.;Michelle;Alexander;2
29506;4;Mr.;Sean;Jacobson;2
29507;5;Ms.;Phyllis;Allen;1
29508;4;Mr.;Marvin;Allen;0
29509;2;Mr.;Michael;Allen;2
29510;6;Mr.;Cecil;Allison;0
29511;3;Mr.;Oscar;Alpuerto;1
29512;9;Ms.;Sandra;Altamirano;0
29513;5;Ms.;Selena;Alvarado;0
29514;5;Mr.;Emilio;Alvaro;1
29515;6;Mr.;Maxwell;Amland;0
29516;9;Ms.;Mae;Anderson;0
29517;3;Ms.;Ramona;Antrim;0
29518;5;Ms.;Sabria;Appelbaum;0
29519;5;Ms.;Hannah;Arakawa;0
29520;5;Ms.;Kyley;Arbelaez;1
29521;1;Mr.;Tom;Johnston;1
29522;4;Mr.;Thomas;Armstrong;0
29523;4;Mr.;John;Arthur;0
29524;3;Mr.;Chris;Ashton;1
29525;4;Ms.;Teresa;Atkinson;0
29526;8;Mr.;John;Ault;0
29527;6;Mr.;Robert;Avalos;0
29528;3;Mr.;Stephen;Ayers;0
29529;9;Mr.;Phillip;Bacalzo;0
29530;6;Mr.;Daniel;Blanco;0
29531;1;Mr.;Cory;Booth;1
29532;1;Mr.;James;Bailey;0
29533;3;Mr.;Douglas;Baldwin;0
29534;5;Ms.;Jennifer;Bales;1
29535;4;Mr.;Wayne;Banack;2
29536;3;Mr.;Robert;Barker;0
29537;9;Ms.;Rebecca;Barley;2
29538;9;Ms.;Brenda;Barlow;1
29539;6;Mr.;Josh;Barnhill;0
29540;5;Mr.;Adam;Barr;1
29541;6;NULL;Gytis;Barzdukas;0
29542;8;Mr.;David;Bartness;0
29543;2;Ms.;Karel;Bates;1
29544;6;Mr.;Shaun;Beasley;1
29545;1;Mr.;John;Beaver;0
29546;10;Mr.;Christopher;Beck;0
29547;9;Mr.;Benjamin;Becker;0
29548;6;Ms.;Ann;Beebe;0
29549;5;Mr.;Shane;Belli;1
29550;1;Mr.;Stanley;Alan;0
29551;2;Mr.;Mason;Bendixen;0
29552;8;Mr.;John;Bennetts;0
29553;4;Ms.;Edna;Benson;0
29554;3;Mr.;Payton;Benson;0
29555;2;Mr.;Max;Benson;0
29556;9;Mr.;Scot;Bent;0
